name,acronym,source,faculty,institute,number_women,number_men,,
Kröcher Group - Group of Catalysis for Biofuels,GR-KRO,https://www.epfl.ch/labs/gcb/,SB,ISIC,0,2,,
Moser Group - Group for Photochemical Dynamics,GR-MO,https://www.epfl.ch/labs/gdp/,SB,ISIC,1,5,,
Naveiras Group,GR-NAVEIRAS,https://www.epfl.ch/labs/naveiras-lab/,SV,ISREC,6,3,,
Group Osterwalder,GR-OST,https://www.epfl.ch/labs/gr-ost/,SB,ISIC,2,3,,
Quack Group,GR-QUA,https://www.epfl.ch/labs/q-lab/,STI,IMT,5,3,,
Reductive Groups Group,GR-TES,https://www.epfl.ch/labs/gr-tes/,SB,MATH,2,4,,
Groupe Troyanov,GR-TR,https://www.epfl.ch/labs/gr-tr/,SB,MATH,0,4,,
Groupe Weigert,GR-WEIGERT,https://www.epfl.ch/labs/weigert-lab/,SV,IBI,0,2,,
Group of Chemical and Physical Safety,GSCP,https://www.epfl.ch/labs/gscp/,SB,ISIC,5,6,,
mechanical-spectroscopy,GSM,https://www.epfl.ch/labs/mechanical-spectroscopy/,SB,IPHYS,1,7,,
Laboratory for Human-Environment Relations in Urban Systems,HERUS,https://www.epfl.ch/labs/herus/,ENAC,IIE,11,5,,
High Energy Theory,HET,https://www.epfl.ch/labs/het/,SB,IPHYS,3,32,,
HexHive Laboratory,HEXHIVE,https://hexhive.epfl.ch/,IC,,1,14,,
Human-Oriented Built Environment Lab,HOBEL,https://www.epfl.ch/labs/hobel/,ENAC,IIC,5,6,,
Hybrid Quantum Circuits Laboratory,HQC,https://www.epfl.ch/labs/hqc/,SB,IPHYS,1,4,,
Structural Concrete Laboratory,IBETON,https://ibeton.epfl.ch/,ENAC,IIC,0,0,,
Institute of Bioengineering,IBI,https://www.epfl.ch/research/domains/bioengineering/,SV,,9,30,,
Laboratory for Timber Constructions,IBOIS,https://www.epfl.ch/labs/ibois/,ENAC,IIC,0,7,,
Integrated Circuits Laboratory,ICLAB,https://www.epfl.ch/labs/iclab/,STI,IMT,1,9,,
IDEPHICS,IDEPHICS,https://www.epfl.ch/labs/idephics/,STI,IEL,1,7,,
Immersive Interaction Group,IIG,https://www.epfl.ch/labs/iig/,IC,,2,3,,
Chair of Innovation and IP Policy,IIPP,https://www.epfl.ch/labs/iipp/,CDM,MTEI,1,7,,
Applied Computing and Mechanics Laboratory,IMAC,https://www.epfl.ch/labs/imac/,ENAC,IIC,1,3,,
lnformation and Network Dynamics Laboratory 1,INDY1,https://indy.epfl.ch/,IC,,1,10,,
Integrated Neurotechnologies Laboratory,INL,https://www.epfl.ch/labs/inl/,STI,IEL,2,4,,
Patek Philippe Chair in Micromechanical and Horological Design,INSTANT-LAB,https://www.epfl.ch/labs/instantlab/,STI,IMT,4,13,,
Information Processing Group,IPG,https://www.epfl.ch/schools/ic/ipg/,IC,,0,19,,
Image and Visual Representation Laboratory,IVRL,https://www.epfl.ch/labs/ivrl/,IC,,4,12,,
Automatic Control Laboratory 3,LA3,https://www.epfl.ch/labs/la/,STI,IGM,2,28,,
Automatic Control Laboratory 3,LA3,https://www.epfl.ch/labs/la3/,STI,IGM,,,,
Laboratory of Urbanism,LAB-U,https://www.epfl.ch/labs/lab-u/,ENAC,IA,,,,
Operating Systems Laboratory,LABOS,https://www.epfl.ch/labs/labos/,IC,,,,,
Laboratory for cryptologic algorithms,LACAL,https://www.epfl.ch/labs/lacal/,IC,,,,,
Laboratory for Advanced Fabrication Technologies,LAFT,https://www.epfl.ch/labs/laft/,STI,IMT,,,,
Integrated Actuators Laboratory,LAI,https://www.epfl.ch/labs/lai/,STI,IMT,,,,
Laboratory for Applied Mechanical Design,LAMD,https://www.epfl.ch/labs/lamd/,STI,IGM,,,,
Laboratory for Multiscale Mechanics Modeling,LAMMM,https://www.epfl.ch/labs/lammm/,STI,IGM,,,,
Programming Methods Laboratory,LAMP,https://www.epfl.ch/labs/lamp/,IC,,,,,
Laboratory of systemic modeling,LAMS,https://www.epfl.ch/labs/lams/,IC,,,,,
Nanoscale Electronics and Structures,LANES,https://www.epfl.ch/labs/lanes/,STI,IEL,,,,
Processor Architecture Laboratory,LAP,https://www.epfl.ch/labs/lap/,IC,,,,,
Laboratory of Applied Photonics Devices,LAPD,https://www.epfl.ch/labs/lapd/,STI,IMT,,,,
Laboratory  of  atmospheric  processes  and  their  impacts,LAPI,https://www.epfl.ch/labs/lapi/,ENAC,IIE,,,,
Arts of sciences laboratory - Archives of imaginary,LAPIS,https://www.epfl.ch/labs/lapis/,ENAC,IA,,,,
Laboratory for Automated Reasoning and Analysis,LARA,https://lara.epfl.ch/,IC,,,,,
Gaznat Chair for advanced separations,LAS,https://www.epfl.ch/labs/las/,SB,ISIC,,,,
Learning Algorithms and Systems Laboratory,LASA,https://www.epfl.ch/labs/lasa/,STI,IMT,,,,
Security and Cryptography Laboratory,LASEC,https://lasec.epfl.ch/,IC,,,,,
Laboratory of Geographic Information Systems,LASIG,https://www.epfl.ch/labs/lasig/,ENAC,IIE,,,,
Laboratory of Advanced Semiconductors for Photonics and Electronics,LASPE,https://www.epfl.ch/labs/laspe/,SB,IPHYS,,,,
Laboratory of Architecture and Sustainable Technologies,LAST,https://www.epfl.ch/labs/last/,ENAC,IA,,,,
Laboratory of Astrophysics,LASTRO,https://www.epfl.ch/labs/lastro/,SB,IPHYS,,,,
Urban Sociology Laboratory,LASUR,https://www.epfl.ch/labs/lasur/,ENAC,IA,,,,
Laboratory for Environmental Biotechnology,LBE,https://www.epfl.ch/labs/lbe/,ENAC,IIE,,,,
Laboratory of Biological Electron Microscopy,LBEM,https://www.epfl.ch/labs/lbem/,SB,IPHYS,,,,
Laboratory of Nanoscale Biology,LBEN,https://www.epfl.ch/labs/lben/,STI,IBI,,,,
Laboratory of Biomaterials for Immunoengineering,LBI,https://www.epfl.ch/labs/tang-lab/,STI,IBI,,,,
Laboratory for Biomolecular Modeling,LBM,https://www.epfl.ch/labs/lbm/,SV,IBI,,,,
Laboratory for Biomedical Microfluidics,LBMM,https://www.epfl.ch/labs/lbmm/,STI,IBI,,,,
Laboratory of Biological Network Characterization,LBNC,http://lbnc.epfl.ch/,STI,IBI,,,,
Laboratory for Bio- and Nano-Instrumentation,LBNI,https://www.epfl.ch/labs/lbni/,STI,IBI,,,,
Laboratory of Biomechanical Orthopedics,LBO,https://www.epfl.ch/labs/lbo/,STI,IBI,,,,
Laboratory for fundamental BioPhotonics,LBP,https://www.epfl.ch/labs/lbp/,STI,IBI,,,,
